crate	Apache-2.0	Apache-2.0 WITH LLVM-exception	LGPL-2.1-or-later	MIT	Unicode-3.0	Zlib
anyhow@1.0.102	X			X		
bitflags@2.11.0	X			X		
bytes@1.11.1				X		
cfg-if@1.0.4	X			X		
either@1.15.0	X			X		
equivalent@1.0.2	X			X		
errno@0.3.14	X			X		
fastrand@2.4.0	X			X		
fixedbitset@0.5.7	X			X		
foldhash@0.1.5						X
gen@0.1.0	X					
getrandom@0.4.2	X			X		
hashbrown@0.15.5	X			X		
hashbrown@0.16.1	X			X		
heck@0.5.0	X			X		
indexmap@2.13.1	X			X		
itertools@0.14.0	X			X		
libc@0.2.184	X			X		
linux-raw-sys@0.12.1	X	X		X		
log@0.4.29	X			X		
multimap@0.10.1	X			X		
once_cell@1.21.4	X			X		
petgraph@0.8.3	X			X		
prettyplease@0.2.37	X			X		
proc-macro2@1.0.106	X			X		
prost@0.14.3	X					
prost-build@0.14.3	X					
prost-derive@0.14.3	X					
prost-types@0.14.3	X					
quote@1.0.45	X			X		
r-efi@6.0.0	X		X	X		
regex@1.12.3	X			X		
regex-automata@0.4.14	X			X		
regex-syntax@0.8.10	X			X		
rustix@1.1.4	X	X		X		
syn@2.0.117	X			X		
tempfile@3.27.0	X			X		
unicode-ident@1.0.24	X			X	X	
wasip2@1.0.2+wasi-0.2.9	X	X		X		
wasip3@0.4.0+wasi-0.3.0-rc-2026-01-06	X	X		X		
windows-link@0.2.1	X			X		
windows-sys@0.61.2	X			X		
wit-bindgen@0.51.0	X	X		X		
